id,priority,area,title,classification,confidence,evidence,user_impact,effort_engineer_days,dependencies,recommendation,acceptance_criteria,source_refs
A01,P1,Functionality / speed / customization,Restore startup services without silent fallback,Confirmed current defect,High,"Normal import and native launch both yield runner=None, run_vm=None, sops=None. AppSettings comes from main_window. The import targets views.services, which is absent.","The desktop silently loses background execution, SOP availability, and main-window persistence.",1–2,A02 and A03 must accompany release,"Correct the service imports, narrow optional-feature exception handling, and report unavailable required services. Declare persisted layout fields and avoid overwriting restored geometry at startup.","Unpatched MainWindow has real runner/view model/SOP/settings objects. Across a fresh process, selected pipeline, units, image, overlays and supported layout fields restore. Test startup service identities rather than patching them away.",src/menipy/gui/views/main_window.py:113; src/menipy/gui/services/settings_service.py:17; src/menipy/gui/app.py:135
A02,P1,Functionality,Bind completed results to the original job and validation context,Confirmed latent defect,High,"A real worker/view-model signal probe returned qa.ok=False and an original image path. The resulting history row was Accepted, had empty rejection reasons and no filename, and used the newly selected Pendant pipeline.",Restoring the runner as-is exposes incorrect validation status and misattributed records.,2–3,A01; release together,"Use one completion envelope with job identity, submitted pipeline/source/settings and full Context. Persist through build_persisted_analysis exactly once for every mode; do not infer identity from current controls.","Rejected static and dynamic jobs retain rejection reasons/diagnostics with empty accepted metrics. Switching pipeline/source mid-run cannot change stored identity. Success, rejection, duplicate signals and out-of-order completion create exactly one correct row each.",src/menipy/gui/controllers/pipeline_controller.py:875; src/menipy/gui/controllers/pipeline_controller.py:898; src/menipy/gui/views/results_panel.py:1191; src/menipy/models/results.py:40
A03,P1,Speed / UX,Keep computation off the UI thread and make Stop meaningful,Confirmed current and latent defects,High,A 20 ms Qt timer fired after 253.2 ms while a 250 ms synthetic direct pipeline ran. The worker probe still completed 352.2 ms after Stop; Stop only clears queued tasks.,Users cannot reliably interact with or stop long analysis; status can imply cancellation that never happened.,3–5,"A01, A02","Route full, simple, stage-test and calibration computation through workers. Replace synchronous fallback with a submission error. Add job-scoped cancellation checks between stages/frames and callbacks inside long solvers where supported; report stopping while an uninterruptible operation finishes.","A synthetic 500 ms job leaves a 20 ms GUI heartbeat running; no duplicate submissions. Stop cancels queued jobs and suppresses cancelled result publication, preserves completed history, and reports terminal cancellation once. Measure solver cancellation latency separately; never claim instantaneous interruption of native calls.",src/menipy/gui/controllers/pipeline_controller.py:1066; src/menipy/gui/controllers/pipeline_controller.py:667; src/menipy/gui/controllers/main_controller.py:332; src/menipy/gui/dialogs/calibration_wizard_dialog.py:356
A04,P1,Functionality / UX,Expose Dynamic Sessile in the real application,Confirmed current defect,High,"The controller has dynamicSessileBtn, but its parent is hidden. The toolbar reparents only five static mode buttons. Native startup shows those five buttons, although the core discovers and tests sessile_dynamic.",A supported analysis capability is inaccessible through the primary workflow.,0.5–1,Independent of A01; A03 for responsive execution,Include Dynamic Sessile in the primary mode selector and expose its sequence/FPS controls. Add a visible-window integration test across every discovered supported mode.,"Keyboard and pointer users can select Dynamic Sessile without private APIs, choose video or frame directory, supply FPS where needed, and reach timeline results/export. Static mode controls remain correct.",src/menipy/gui/views/main_window.py:550; src/menipy/gui/views/main_window.py:555; src/menipy/gui/views/main_window.py:691
A05,P1,Functionality / UX,Make folder processing explicit,Confirmed current behavior / missing capability,High,"With three images in a selected folder, gather_run_params provides the folder plus a selected image, but run_full submits exactly one image. Folder mode continues to label its action Run Analysis.",Users may believe a folder was processed when only one file was analyzed.,3–5,"A02, A03","Separate Run selected and Run folder; display file count, per-file outcomes, progress, retry failures and a consolidated export. Keep a temporal frame directory distinct from an independent-image batch.","A three-file folder produces three identified outcomes; one corrupt file is reported without losing the others. Cancellation retains completed records. Dynamic sequence input remains one temporal result, not three unrelated analyses.",src/menipy/gui/controllers/setup_panel_controller.py:426; src/menipy/gui/controllers/pipeline_controller.py:571
A06,P1,Functionality / reliability,Report and recover from failed history writes,Confirmed current defect,High,Injecting PermissionError during add_measurement returned normally and left a new in-memory row. _save_history catches every exception without logging or a user-visible error.,A displayed measurement can disappear after restart without warning.,1–2,Independent; coordinate with A02,Use atomic persistence and a visible unsaved state with retry/export recovery. Preserve the last good file and keep measurements recoverable in memory.,"Read-only destination, simulated disk-full and interrupted write retain the prior file. Users see unsaved status; successful retry clears it. Restart never reads a partially written JSON file.",src/menipy/models/results.py:235; src/menipy/models/results.py:90
A07,P2,Functionality / UX,Carry calibration provenance and warnings through every path,Confirmed path inconsistency,High,Normal Run blocks absent ROI/needle regions. The advanced run builder instead supplied 10 px/mm with a fallback warning when no regions were present. The native wizard allowed Apply All with substrate confidence 25% and overall confidence 81%.,Different entry points can lead to different confidence assumptions; aggregate confidence can hide a weak prerequisite.,2–3,A02; scientific contract review,"Record scale origin (measured/manual/estimated/missing), show component warnings beside results and export them. Keep preview possible, but require explicit handling of estimated scale before publishing calibrated physical values. Do not change scientific rejection thresholds as part of UI cleanup.",Missing or estimated scale is visible in stage tests and exports. Manual valid calibration is honored. A weak substrate remains visibly flagged even when overall confidence is high. Existing numerical conformance gates continue to pass.,src/menipy/gui/controllers/pipeline_controller.py:206; src/menipy/gui/controllers/pipeline_controller.py:55; src/menipy/gui/dialogs/calibration_wizard_dialog.py:450
A08,P2,Customization,Turn SOPs into complete reusable analysis presets,Confirmed latent gap,High,"SopController creates presets with params={}; applying them only sets stage inclusion. SopService can persist parameter dictionaries, but normal startup currently disables the service.",Researchers cannot reliably repeat or share a full configured workflow using SOPs.,3–5,"A01, A02","Capture typed preprocessing, detection, physics, geometry, calibration choices, plugin selections and stage inclusion. Support named save/update/import/export with versioning and a summary before applying.","After process restart, a preset round-trips all supported values and reproduces run configuration. Missing plugin/version conflicts are explained. Applying a preset does not silently retain incompatible settings from the previous mode.",src/menipy/gui/controllers/sop_controller.py:96; src/menipy/gui/controllers/sop_controller.py:200; src/menipy/gui/services/sop_service.py:21
A09,P2,UX / accessibility,Name icon controls and guide source readiness,Confirmed UI/API evidence,High,"The native accessibility tree reports blank names for inactive mode buttons, source toggles and panel toggles. Startup enables Run Analysis with no image; switching to an empty folder leaves the old preview/results visible.","Controls are hard to discover without hovering, and the current source can be confused with a previous result.",1–3,"Coordinate with A04, A05","Set explicit accessible names and label associations, offer persistent mode labels, show source readiness and explain prerequisites next to Run. Clearly mark previous results when source selection changes.","Keyboard-only selection, loading, calibration, run and export have visible focus and meaningful names. Empty-source Run is disabled with a reason or routes to source selection. Source changes invalidate stale calibration or visibly associate it with its source.",src/menipy/gui/views/main_window.py:539; src/menipy/gui/controllers/setup_panel_controller.py:691
A10,P2,UX,Keep calibration status and result rows readable,Confirmed visual issue,High,"At the captured native size, calibration opens zoomed so the drop base is out of view; detected-region status text is clipped beside Draw buttons. After analysis the results table shows a header and only a sliver of the selected row.",Users must adjust layout before verifying detections or reading the measurement table.,1–2,Independent; retain existing layout presets,"Fit the complete image on initial calibration display, allocate enough width for status text, and reserve usable table height when results exist. Keep splitter controls and saved layouts.","At 1200×800 and 1366×768 logical layouts, and 100/125/150% display scaling, the first result row and all confidence text remain readable. Window resizing preserves image aspect ratio and offers access to every action.",src/menipy/gui/dialogs/calibration_wizard_dialog.py:38; src/menipy/gui/views/main_window.py:299
